"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"32","Normal/Others","WS/MP18226/2025-2026/222576-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Dhyanchandra Baba Temple in Village Bujhwa of Gram Panchayat Grant No. 14.","26-Jul-2025","179755","27-Sep-2025"
"33","Normal/Others","WS/MP18226/2025-2026/222577-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near village Sarkargarh Masjid of Gram Panchayat Rampur Grant No. 18.","26-Jul-2025","156959","27-Sep-2025"
"34","Normal/Others","WS/MP18226/2025-2026/222578-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Tiraha of Gram Panchayat Babarpur Bargadiya.","26-Jul-2025","156959","27-Sep-2025"
"35","Normal/Others","WS/MP18226/2025-2026/222579-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Ambedkar Park in village Motipur of Gram Panchayat Grant No. 14.","26-Jul-2025","156959","27-Sep-2025"
"36","Normal/Others","WS/MP18226/2025-2026/222580-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Lochanpur Gurudwara in Village Dalpur in Gram Panchayat Dalpur Grant.","26-Jul-2025","160967","27-Sep-2025"
"37","Normal/Others","WS/MP18226/2025-2026/222588-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Chhatra veerbaba place in Gram Panchayat Grant No. 18.","26-Jul-2025","156959","27-Sep-2025"
"38","Normal/Others","WS/MP18226/2025-2026/222589-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the masjid in village Ujagarpur of Gram Panchayat Dalpur Grant.","26-Jul-2025","156959","27-Sep-2025"
"39","Normal/Others","WS/MP18226/2025-2026/222590-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near village Muradpur Masjid under Gram Panchayat Grant No. 18.","26-Jul-2025","156959","27-Sep-2025"
"40","Normal/Others","WS/MP18226/2025-2026/222591-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Banjarangwali temple in village Laxmipur of Gram Panchayat Koraiya Lohan.","26-Jul-2025","156959","27-Sep-2025"
"41","Normal/Others","WS/MP18226/2025-2026/222592-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Gram Panchayat Virandavan Ambedkar Park of Gram Panchayat Rampur Datpur.","26-Jul-2025","156959","27-Sep-2025"
"42","Normal/Others","WS/MP18226/2025-2026/222593-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the house of Shri Jagdish Prasad in village Bajar ganj of Gram Panchayat Koraiya Lohan.","26-Jul-2025","156959","27-Sep-2025"
"43","Normal/Others","WS/MP18226/2025-2026/222594-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Gurudwara in village Dhaurahra Buzurg of Gram Panchayat  Kushmori.","26-Jul-2025","156959","27-Sep-2025"
"44","Normal/Others","WS/MP18226/2025-2026/222595-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the house of Shri Sardar Rajwant Singh in village Manwapur Farm of Gram Panchayat Bhagoda.","26-Jul-2025","156959","27-Sep-2025"
"45","Normal/Others","WS/MP18226/2025-2026/233192-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the Mata ji temple in village Sahyhibara of Gram Panchayat Behra Multan.","12-Sep-2025","156974","28-Nov-2025"
"46","Normal/Others","WS/MP18226/2025-2026/233193-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the temple of Baghun Bhuhar Baba in the village of Chandanapur Gram Panchayat.","12-Sep-2025","156974","28-Nov-2025"
"47","Normal/Others","WS/MP18226/2025-2026/233194-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Shankar ji Temple in Village Panchayat Mohaddinpur.","12-Sep-2025","156974","28-Nov-2025"
"48","Normal/Others","WS/MP18226/2025-2026/233195-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the gate of the cemetery in village Rasulpur of Gram Panchayat Rasulpur.","12-Sep-2025","156974","28-Nov-2025"
"49","Normal/Others","WS/MP18226/2025-2026/233196-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Gram Panchayat Harinagar Bazar.","12-Sep-2025","156974","28-Nov-2025"
"50","Normal/Others","WS/MP18226/2025-2026/233197-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Sher Singh Yadav Assembly Speaker, SP in village Panchayat Muda Khalsa.","12-Sep-2025","156974","28-Nov-2025"
"51","Normal/Others","WS/MP18226/2025-2026/233198-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the ancient Dev Sthal in Gram Panchayat Sisoukan.","12-Sep-2025","156974","28-Nov-2025"
"52","Normal/Others","WS/MP18226/2025-2026/233199-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the village Ashrafiganj (Bhooda) temple of Gram Panchayat Sheetlpur Grant.","12-Sep-2025","156974","28-Nov-2025"
"53","Normal/Others","WS/MP18226/2025-2026/233200-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Hanuman temple near Maheshpur bridge in Gram Panchayat Jungle No. 13.","12-Sep-2025","156974","28-Nov-2025"
"54","Normal/Others","WS/MP18226/2025-2026/233201-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light at the intersection of Shri Naeem Khan in village Kaparaha of Gram Panchayat Kaparaha","12-Sep-2025","156974","28-Nov-2025"
"55","Normal/Others","WS/MP18226/2025-2026/233202-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Tedhnath Baba temple in Magdapur village panchayat.","12-Sep-2025","156974","28-Nov-2025"
"56","Normal/Others","WS/MP18226/2025-2026/233239-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light at Gram Panchayat Baghel Chauraha.","12-Sep-2025","156974","28-Nov-2025"
"57","Normal/Others","WS/MP18226/2025-2026/233240-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Pappu at village Pakaria intersection of Gram Panchayat Belhari.","12-Sep-2025","156974","28-Nov-2025"
"58","Normal/Others","WS/MP18226/2025-2026/233241-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light in front of the Panchayat Bhawan in Gram Panchayat Gharathaniyan.","12-Sep-2025","156974","28-Nov-2025"
"59","Normal/Others","WS/MP18226/2025-2026/233242-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the temple by Thakur in Gram Panchayat Gharthaniyan.","12-Sep-2025","156974","28-Nov-2025"
"60","Normal/Others","WS/MP18226/2025-2026/233243-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Noorie Jama Masjid and Madrasa of Gram Panchayat Ameer Nagar","12-Sep-2025","164641","28-Nov-2025"
"61","Normal/Others","WS/MP18226/2025-2026/233244-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Kadri Masjid Chaturi road of Gram Panchayat Ameer Nagar.","12-Sep-2025","167195","28-Nov-2025"
"62","Normal/Others","WS/MP18226/2025-2026/233245-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Mohammadpur Noori Masjid of Gram Panchayat Ameer Nagar village.","12-Sep-2025","156974","28-Nov-2025"
"63","Normal/Others","WS/MP18226/2025-2026/233246-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Mujha Masjid of Gram Panchayat Parasan.","12-Sep-2025","156974","28-Nov-2025"
"64","Normal/Others","WS/MP18226/2025-2026/233247-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Mohammadpur Raza Masjid in Gram Panchayat Amir Nagar village.","12-Sep-2025","156974","28-Nov-2025"
"65","Normal/Others","WS/MP18226/2025-2026/233248-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Auliya Masjid and Mazar of Gram Panchayat Amir Nagar.","12-Sep-2025","170261","28-Nov-2025"
"66","Normal/Others","WS/MP18226/2025-2026/233249-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Mohammadpur Idgah and Madrasa Masjid of Gram Panchayat Amir Nagar.","12-Sep-2025","164641","28-Nov-2025"
"67","Normal/Others","WS/MP18226/2025-2026/233272-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Durga Mata temple in Gram Panchayat Anjanapur","12-Sep-2025","156975","28-Nov-2025"
"68","Normal/Others","WS/MP18226/2025-2026/233273-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Goge son of Shri Bhogai at the intersection in Gram Panchayat Sada.","12-Sep-2025","156975","28-Nov-2025"
"69","Normal/Others","WS/MP18226/2025-2026/233274-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the Gram Panchayat house in village Bedha Surtiha of Gram Panchayat Jungle No. 11","12-Sep-2025","156975","28-Nov-2025"
"70","Normal/Others","WS/MP18226/2025-2026/233275-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light in the playground of village Binauwa Nagar of Gram Panchayat Jungle No. 11.","12-Sep-2025","156975","28-Nov-2025"
"71","Normal/Others","WS/MP18226/2025-2026/233276-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light in from of Shri Manohar Yadav Pradhan son Shri Chandrabhal near Shiva temple in Gram Panchayat Narhar","12-Sep-2025","156975","28-Nov-2025"
"72","Normal/Others","WS/MP18226/2025-2026/233277-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light in front of Shri Malti Prasad, near the place of Gupti Baba in village Mainha Ghat of Gram Panchayat Narhar","12-Sep-2025","156975","28-Nov-2025"
"73","Normal/Others","WS/MP18226/2025-2026/233278-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Rajendra Singh son of Shri Amar Singh in village Bacchu Purva of Gram Panchayat Basaigapur","12-Sep-2025","189169","28-Nov-2025"
"74","Normal/Others","WS/MP18226/2025-2026/233279-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light at Mozmabad Gurudwara in Gram Panchayat Mozmabad","12-Sep-2025","201435","28-Nov-2025"
"75","Normal/Others","WS/MP18226/2025-2026/233280-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Chhote Salmani in village Deoria of Gram Panchayat Deoria.","12-Sep-2025","156975","28-Nov-2025"
"76","Normal/Others","WS/MP18226/2025-2026/233281-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light at the mausoleum in Amritapur village panchayat","12-Sep-2025","174861","28-Nov-2025"
"77","Normal/Others","WS/MP18226/2025-2026/233354-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Singh Sabha Gurdwara Krhiya in Krhiya village of Gram Panchayat Deoria.","12-Sep-2025","156975","28-Nov-2025"
"78","Normal/Others","WS/MP18226/2025-2026/233355-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Ambedkar Park in village Sabar Chaura of Gram Panchayat Rajapur","12-Sep-2025","156975","28-Nov-2025"
"79","Normal/Others","WS/MP18226/2025-2026/233356-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the masjid in village Milpurwa of Gram Panchayat Sarwa.","12-Sep-2025","174861","28-Nov-2025"
"80","Normal/Others","WS/MP18226/2025-2026/233357-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Gram Panchayat Sikandrapur Gurudwara Shri Guru Singh Sabha Sikandrapur Amkota.","12-Sep-2025","156975","28-Nov-2025"
"81","Normal/Others","WS/MP18226/2025-2026/233358-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the mosque in village Hazratpur of Gram Panchayat Hazratpur.","12-Sep-2025","156975","28-Nov-2025"
