"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"25","Normal/Others","WS/MP180/2026-2027/240850-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Installation of Smart Class and Furniture work and modernization in Primary School, Atus","13-Oct-2025","1200000","30-Jun-2026"
"26","Normal/Others","WS/MP180/2026-2027/240852-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Installation of smart classes open gym and furniture in  High Secondary school BAD","13-Oct-2025","1000000","30-Jun-2026"
"27","Normal/Others","WS/MP18347/2025-2026/211054-Purchase of vans and buses for educational institutions","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Smart board in composit vidhyal barauli ahir with furniture and link road","16-Jul-2025","1638000","06-Aug-2025"
"28","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of sump pump with tank in Jatav Basti of No. Dalshay of Gram Panchayat Basaiya Raimal of Block Akola.","26-Jun-2026","265000","NA"
"29","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summersebil  with tanki near the house of Prabhat Sikarwar in Mouza Chaugan of village Garhi Rami.","26-Jun-2026","265000","NA"
"30","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summer sabil with water tank  in Ward No. 41 Nirmal Sadan Balmik Basti.","26-Jun-2026","265000","NA"
"31","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summer sabil with tank near Jain temple in Chhiptola.","26-Jun-2026","265000","NA"
"32","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of summer sabil with tanki  near Kali temple in Ward No. 41, Katra Garharian Koli Basti.","26-Jun-2026","265000","NA"
"33","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of summer sabilwith tanki near Ward No. 41 Katra Gadhariyan Nageshwar Temple","26-Jun-2026","265000","NA"
"34","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of summer sabil with tanki in Ward No. 41, Cheelgad Khatik Basti.","26-Jun-2026","265000","NA"
"35","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summer sabil with tanki near Pakka Chabutara in Ward No. 41 Baluganj.","26-Jun-2026","265000","NA"
"36","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of water pump with tank near Sunil Sikarwar's house in Ward No. 41, Tili Baluganj.","26-Jun-2026","265000","NA"
"37","Normal/Others","NA-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summer sabil with tanki near Irfan Qureshi's house in Lohamandi Nauvasta Peer Babudwin.","26-Jun-2026","265000","NA"
"38","Normal/Others","WS/MP18347/2026-2027/272726-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Submersible Pump with tanki At cornar of Jain Gali Chhipitola Agra","06-Mar-2026","265000","13-May-2026"
"39","Normal/Others","WS/MP18347/2026-2027/272711-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Submersible Pump with tanki near Abhinav jain House 29 184 Chhota mandir chhipitola Agra","06-Mar-2026","265000","13-May-2026"
"40","Normal/Others","WS/MP18347/2025-2026/254168-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in Tajganj Paktola Near Panna Lal House","16-Dec-2025","265000","26-Feb-2026"
"41","Normal/Others","WS/MP180/2026-2027/240848-Installing hand pumps","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Installation Summer sevel 6 nag","13-Oct-2025","1500000","30-Jun-2026"
"42","Normal/Others","WS/MP189/2025-2026/218571-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump and construction of water tank","15-Jul-2025","250000","08-Sep-2025"
"43","Normal/Others","WS/MP189/2025-2026/218572-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump and construction of water tank","15-Jul-2025","250000","08-Sep-2025"
"44","Normal/Others","WS/MP189/2025-2026/218574-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump and construction of water tank","15-Jul-2025","250000","08-Sep-2025"
"45","Normal/Others","WS/MP189/2024-2025/167142-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump with water tank at public place near the house of Lakhan Singh, son of Babu Ram in village Dandaniya Pura","21-Jan-2025","250000","17-Mar-2025"
"46","Normal/Others","WS/MP189/2024-2025/167143-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Submersible Pump with water tank at public place near the house of Chandra Bhan Singh, son of Amar Singh in Village Dharia","21-Jan-2025","250000","17-Mar-2025"
"47","Normal/Others","WS/MP189/2024-2025/167144-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump with water tank at a public place near the house of Ram Prakash Balmik in Village Rampura","21-Jan-2025","250000","17-Mar-2025"
"48","Normal/Others","WS/MP189/2024-2025/167091-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible Pump with Tank at public place near the house of Bhav Singh in Village Pura Hatsukh","21-Jan-2025","250000","17-Mar-2025"
"49","Normal/Others","WS/MP189/2024-2025/167092-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Instllation of submersible pump woth water tank at public place near the house of Harendra, son of Rambhajan in Village Dharia","21-Jan-2025","250000","17-Mar-2025"
"50","Normal/Others","WS/MP189/2024-2025/167124-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump with water tank at public place in the house of Ramdas in Village Dharia","21-Jan-2025","250000","17-Mar-2025"
"51","Normal/Others","WS/MP189/2024-2025/167126-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump with water tank at Public Place near the house of Bhagwan in Pura Harsukh","21-Jan-2025","250000","17-Mar-2025"
"52","Normal/Others","WS/MP189/2024-2025/167128-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump with water tank at public place near the house of Satya Prakash in village Pura Harsukh","21-Jan-2025","250000","17-Mar-2025"
"53","Normal/Others","WS/MP189/2024-2025/167135-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump with water tank at public place near the house of Bhanu, son of Kailasi Ram  in village Dandaniya Pura","21-Jan-2025","250000","17-Mar-2025"
"54","Normal/Others","WS/MP189/2024-2025/167136-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump with water tank at public place near the house of Arjun Singh in village Dandaniya Pura","21-Jan-2025","250000","17-Mar-2025"
"55","Normal/Others","WS/MP189/2025-2026/218577-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pumps and construction of water tank","15-Jul-2025","250000","08-Sep-2025"
"56","Normal/Others","WS/MP189/2025-2026/218579-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump and construction of water tank","15-Jul-2025","250000","08-Sep-2025"
"57","Normal/Others","WS/MP189/2025-2026/218580-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump and construction of water tank","15-Jul-2025","250000","08-Sep-2025"
"58","Normal/Others","WS/MP189/2025-2026/218582-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump and construction of water tank","15-Jul-2025","250000","08-Sep-2025"
"59","Normal/Others","WS/MP189/2025-2026/218569-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of submersible pump and installation of water tank","15-Jul-2025","250000","08-Sep-2025"
"60","Normal/Others","WS/MP18347/2026-2027/272730-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Submersible Pump with tanki at gram Chhepokhar Achnera Agra","06-Mar-2026","265000","13-May-2026"
"61","Normal/Others","WS/MP180/2026-2027/240855-Construction of water tanks","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Installation of Water tank and submer sevel  at Koli Basti Naahar Singh and Palartho 3 places","13-Oct-2025","750000","30-Jun-2026"
"62","Normal/Others","WS/MP18347/2025-2026/211052-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of sumbarsible pump in sabji mandi etmadpur","16-Jul-2025","265000","06-Aug-2025"
"63","Normal/Others","WS/MP18347/2025-2026/211053-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of sumbarsible pump on shamshabad road near ramraghu exotika park","16-Jul-2025","265000","06-Aug-2025"
"64","Normal/Others","WS/MP18347/2025-2026/211055-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of sumbarsebile pump in jamuni bhan near rajveer jaudan house fatewhabad","16-Jul-2025","265000","06-Aug-2025"
"65","Normal/Others","WS/MP18347/2025-2026/246632-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil with tank near hanuman prachin mandir on Agra City Station road","07-Nov-2025","265000","19-Dec-2025"
"66","Normal/Others","WS/MP18347/2025-2026/246633-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil with tank near Shastripuram Farm House Gaushala","07-Nov-2025","265000","19-Dec-2025"
"67","Normal/Others","WS/MP18347/2025-2026/187639-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Sumbarseble pump near rajendra gautam house in village deavrautha block bichpuri","28-Mar-2025","265000","01-Apr-2025"
"68","Normal/Others","WS/MP18347/2025-2026/187640-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Sumbarseble pump in village barahan road near deepak tyagi house","28-Mar-2025","265000","01-Apr-2025"
"69","Normal/Others","WS/MP18347/2025-2026/254169-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in Tajganj Diwan ji Mohalla near Keshav Dev House","16-Dec-2025","265000","26-Feb-2026"
"70","Normal/Others","WS/MP18347/2025-2026/254170-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in Tajganj billochpura Near Billochpura Chauraha","16-Dec-2025","265000","26-Feb-2026"
"71","Normal/Others","WS/MP18347/2025-2026/254171-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in Tajganj Telipura near Rauthar Mandir","16-Dec-2025","265000","26-Feb-2026"
"72","Normal/Others","WS/MP18347/2025-2026/254172-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in Dahtora Bodala Marg in Bhagya jyoti colony near Lord Ganesh Public School","16-Dec-2025","265000","26-Feb-2026"
"73","Normal/Others","WS/MP18347/2025-2026/254175-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in ward no 38 near Ram BHakt Hanuman Mandir","16-Dec-2025","265000","26-Feb-2026"
"74","Normal/Others","WS/MP18347/2025-2026/254177-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in Shastri Puram Kashiram Shahari Awas Yojana near CFTI Hostal","16-Dec-2025","265000","26-Feb-2026"
"75","Normal/Others","WS/MP18347/2025-2026/254178-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in Village Ghoghai Shastri Puram Near Bachu Singh House","16-Dec-2025","265000","26-Feb-2026"
"76","Normal/Others","WS/MP18347/2025-2026/254159-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in ward no 7 kishorpura near ramu ki dukan","16-Dec-2025","265000","26-Feb-2026"
"77","Normal/Others","WS/MP18347/2025-2026/254160-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in ward no 7 kishorpura near Puliya","16-Dec-2025","265000","26-Feb-2026"
"78","Normal/Others","WS/MP18347/2025-2026/254163-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in ward no 7 kishorpura near Hanuman Mandir","16-Dec-2025","265000","26-Feb-2026"
"79","Normal/Others","WS/MP18347/2025-2026/254165-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in ward no 7 kishorpura Nagla Bel near Bhagwan Singh house","16-Dec-2025","265000","26-Feb-2026"
"80","Normal/Others","WS/MP18347/2025-2026/254166-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in ward no 7 kishorpura near Nagala Bel Tiraha","16-Dec-2025","265000","26-Feb-2026"
"81","Normal/Others","WS/MP18347/2025-2026/254167-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Sumbarsebil in Tajganj billochpura Near Shakti Mandir","16-Dec-2025","265000","26-Feb-2026"
"82","Normal/Others","WS/MP18347/2026-2027/272731-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Submersible Pump with tanki at balmik basti durjan singh block khandauli","06-Mar-2026","265000","13-May-2026"
"83","Normal/Others","WS/MP18347/2026-2027/272732-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Submersible Pump with tanki near house of nand kishor varma block khandauli","06-Mar-2026","265000","13-May-2026"
"84","Normal/Others","WS/MP18347/2026-2027/272734-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Submersible Pump with tanki near house Arjun Singh Sorai block khandauli","06-Mar-2026","265000","13-May-2026"
"85","Normal/Others","WS/MP18347/2026-2027/272735-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Submersible Pump with tanki near house of Satyabir Nai Pentkhera block khandauli","06-Mar-2026","265000","13-May-2026"
