"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"13","Normal/Others","WS/MP108/2024-2025/146475-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of roads from house of Nandwal to House of Nawalkar atward no1, Kheldeomali.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2025","443354"
"14","Normal/Others","WS/MP108/2024-2025/144102-Providing CCTV camera system for security of public areas","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Providing CCTV camera system for security of public areas near samarth high school, nawathe, Amravati.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","17-Mar-2025","1299914"
"15","Normal/Others","WS/MP108/2024-2025/145622-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA)","N/A","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","22-May-2025","840675"
"16","Normal/Others","WS/MP108/2025-2026/190164-Construction of community centers and community halls","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Construction of community hall at kopargaon","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","29-May-2025","998649"
"17","Normal/Others","WS/MP108/2024-2025/134438-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of road with  drainage system at Ward no. 15, Tiwsa Nagar Parishad from Somani Automobile to Sh. Dhurve House","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","28-May-2025","1450461"
"18","Normal/Others","WS/MP108/2024-2025/138964-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of road with drainage system at ward no 3 from house of Bhagwat Fule To house of Harishchandra Ghongde","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","23-May-2025","847469"
"19","Trust and Society","WS/MP108/2024-2025/144177-Construction of rooms and halls in school and colleges","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of additional rooms and halls in the existing public and community building in Sarvoday Shikshan samiti at Hiwarkhed.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","11-Jun-2025","1000000"
"20","Normal/Others","WS/MP108/2024-2025/137251-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of roads with t drainage system at ward no 2Shahapur Tq Warud from Sukhdeo Kokate house to Raju uike house.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","24-Jun-2025","855740"
"21","Normal/Others","WS/MP108/2025-2026/177388-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Purchase of IT systems, including hardware and software for educational purposes at Ambadevi Sansthan","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","27-Jun-2025","297000"
"22","Normal/Others","WS/MP108/2024-2025/146405-Construction of shelters for animals","Maharashtra","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","Construction of shelters for animals in Peoples for animal society at wardha.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","01-Jul-2025","700000"
"23","Normal/Others","WS/MP108/2024-2025/137252-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of community hall at rawala tq Warud Dist. Amravati.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","02-Jul-2025","900000"
"24","Normal/Others","WS/MP108/2024-2025/138968-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of community hall at pusla near santaji Jagnade temple","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","13-Aug-2025","991953"
"25","Normal/Others","WS/MP108/2024-2025/138965-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of road with drainage system aNarnaware to Water tank in Pusla","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","13-Aug-2025","863858"
"26","Normal/Others","WS/MP108/2025-2026/221079-Construction of common work sheds/ common covered sitting area","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","construction of shed at gaurakshan warud","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","19-Sep-2025","991847"
"27","Normal/Others","WS/MP108/2024-2025/141397-Development of public parks","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Development of public park at Shivaji Chouk, Dapori tq Morshi Dist. Amravati","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","19-Sep-2025","1000000"
"28","Normal/Others","WS/MP108/2024-2025/137249-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of community hall at Dapori Tq Morshi.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","19-Sep-2025","2000000"
"29","Normal/Others","WS/MP108/2025-2026/177377-Installation of multi-gym equipment","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Installation of multi-gym equipment at Jagdamb Vyayam Shala, Achalpur","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","23-Mar-2026","1000000"
"30","Normal/Others","WS/MP108/2025-2026/194984-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of community hall at taroda tq morshi","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","25-Sep-2025","1500000"
"31","Normal/Others","WS/MP108/2025-2026/194956-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","purchase of IT system at samta vidyalay, Borala Chikhaldara","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","01-Oct-2025","199255"
"32","Normal/Others","WS/MP108/2025-2026/177378-Installation of fixed garden gym equipment","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Installation of fixed garden gym equipment at ward no 01, tawalar tq Achhalpur","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","01-Oct-2025","499860"
"33","Normal/Others","WS/MP108/2025-2026/177380-Purchase of hospital equipment","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Purchase of hospital equipment at Primary Health centre, Loni tq Warud","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","01-Oct-2025","299130"
"34","Normal/Others","WS/MP108/2025-2026/177384-Installation of fixed garden gym equipment","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Installation of fixed garden gym equipment at Navoday Vidyalay, Amravati","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","01-Oct-2025","499860"
"35","Normal/Others","WS/MP108/2025-2026/177374-Purchase of furniture and fixtures for educational purposes","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Purchase of furniture for swaym Adhyayan Kendra public libraries  pusla","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","01-Oct-2025","698289"
"36","Normal/Others","WS/MP108/2025-2026/227690-Development of public parks","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","installation of Paving blocks at sant Gagnade Maharaj Mandir primases","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","19-Oct-2025","842534"
"37","Normal/Others","WS/MP108/2024-2025/165331-Installation of multi-gym equipment","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Installation of multi-gym equipment at ward no 1 chandurbajar","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","23-Mar-2026","500000"
"38","Normal/Others","WS/MP108/2025-2026/189910-Purchase of smart boards, visual display units and projectors","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Purchase of smart boards, visual display units and projector at Shridharpant Bansod school, Bramhanwada Thadi","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","09-Nov-2025","998610"
"39","Normal/Others","WS/MP108/2024-2025/141398-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of drainage system from House of Prakash Dhurve to House of Mohan Rakshe at wadala","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","09-Nov-2025","450000"
"40","Normal/Others","WS/MP108/2024-2025/141399-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of drainage system from Gajanan Waghmare to Main Road at Wadala","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","09-Nov-2025","432127"
"41","Normal/Others","WS/MP108/2025-2026/221101-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Purchase of four wheeler for disable people in amravati disctrict","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","01-Dec-2025","1200000"
"42","Normal/Others","WS/MP108/2025-2026/250269-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Purchase of Moped (Four Wheeler) Car for disable people in  amravati","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","01-Dec-2025","852000"
"43","Normal/Others","WS/MP108/2025-2026/246281-Construction of community centers and community halls","Maharashtra","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","construction of hall at maroti temple, Khodegaon Sambhaji Nagar","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","20-Dec-2025","1999554"
"44","Normal/Others","WS/MP108/2025-2026/189899-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of road from Grampanchayat Bhawan to Raghunandan Gharad house","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","30-Dec-2025","941620"
"45","Normal/Others","WS/MP108/2025-2026/189898-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of roads from Ramrao Surjuse home to Rameshchandra Soni house.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","30-Dec-2025","942325"
"46","Normal/Others","WS/MP108/2025-2026/189900-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of road from AMol Janakwar house to house of pawan  Deshmukh.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","30-Dec-2025","941908"
"47","Normal/Others","WS/MP108/2025-2026/190181-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of community hall at gurukrupa colony, Rahatgaon, Amravati.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","13-Feb-2026","1492397"
"48","Normal/Others","WS/MP108/2024-2025/182839-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of road with small bridge","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2026","1500000"
"49","Normal/Others","WS/MP108/2025-2026/235695-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of road from House of Rutvik Varhade to Sandip Ingole  at Ashtoli.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","27-Feb-2026","300000"
"50","Normal/Others","WS/MP108/2025-2026/190178-Construction of boundary walls of existing public and community buildings","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","construction of compound wall, pevour block and siiting arragement at Masod.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","17-Mar-2026","694766"
"51","Normal/Others","WS/MP112/2024-2025/134933-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Bhuye, Tal.Karvir. Construction of Road","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","04-Oct-2024","1500000"
"52","Normal/Others","WS/MP112/2024-2025/140113-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Construction of Gutter in Asalaj Tal. Gaganbawada, Dist.Kolhapur","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2024","498970"
"53","Trust and Society","WS/MP112/2024-2025/136773-Construction of boundary walls of existing public and community buildings","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Construction of boundary walls Datta Bal School, Kolhapur","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","14-Oct-2024","1500000"
"54","Normal/Others","WS/MP112/2024-2025/133533-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Satarde, Tal.Panhala. Bailvar Hill To Waghjai Road","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2025","1500000"
"55","Repair and Renovation","WS/MP112/2024-2025/120982-Providing drains and gutters for public drainage","Maharashtra","NANDED(DISTRICT COLLECTOR NANDED_IDA)","R.C.C. Gutters / Pevor Block","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","15-Jan-2025","994085"
"56","Normal/Others","WS/MP112/2024-2025/145310-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Construction of PCC Road from Shri Gobardhan Rai Chimney to residence of Kabil Mahotoo in Village Bela Chapra, Panchayat Semra, under Banjariya Prakhand, District East Champaran, Bihar","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","N/A","16-Jan-2025","1497154"
"57","Normal/Others","WS/MP112/2024-2025/145311-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Part -2 PCC Construction work of Brick Soling Road from Shri Gobardhan Rai Chimney to residence of Kabil Mahotoo in Village Bela Chapra, Panchayat Semra, under Banjariya Prakhand, District East Champaran, Bihar","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","N/A","16-Jan-2025","994403"
"58","Trust and Society","WS/MP112/2024-2025/136783-Construction of community centers and community halls","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Construction of Sanskrutik Sabhagruh, S.S.Highschool, Nesari, Tal.Gadhinglaj, Dist.Kolhapur","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","22-Jan-2025","999000"
"59","Normal/Others","WS/MP112/2024-2025/140270-Providing supply pipelines for drinking water","Maharashtra","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","supply pipelines Satana Bagayatdar sanstha, Dist.Nashik","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","07-Feb-2025","941997"
"60","Normal/Others","WS/MP112/2024-2025/145315-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","PCC Road Construction work of Brick Soling Road in Village Jhakiya to Khagaon Road in Village Bela Chapra, Panchayat Semra, under Banjariya Prakhand, District East Champaran, Bihar","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","N/A","27-Feb-2025","998138"
"61","Normal/Others","WS/MP112/2024-2025/135958-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","Samdoli, Tal. Miraj. Construction of internal road","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","N/A","07-Aug-2025","498795"
"62","Normal/Others","WS/MP112/2024-2025/135957-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","Samdoli, Tal.Miraj, Construction of internal road","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","N/A","07-Aug-2025","997757"
"63","Normal/Others","WS/MP112/2024-2025/135956-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","Samdoli, Tal. Miraj. Construction of internal road","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","N/A","07-Aug-2025","998939"
"64","Normal/Others","WS/MP112/2024-2025/145314-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Construction of Drainage in front of Belva Middle School  in Belva Khas, Under Turkaulia Block, Dist. East Champaran, Bihar","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","N/A","28-Apr-2025","1490039"
"65","Normal/Others","WS/MP112/2025-2026/145302-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Construction of roads & drainage system in Ujalaiwadi, Tal. Karvir","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","24-Jun-2025","999999"
"66","Normal/Others","WS/MP112/2025-2026/163761-Construction of boundary walls of existing public and community buildings","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Construction of boundary walls and  paving blocks","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","18-Jul-2025","999000"
"67","Trust and Society","WS/MP112/2025-2026/212357-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Construction of a cultural hall for the school at Dronagiri Educational Institute, Mhaswad, Taluka Man, District Satara","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","24-Jul-2025","1091019"
"68","Normal/Others","WS/MP112/2025-2026/135920-Construction of buildings for sports facilities","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Girgaon, Tal.Karvir. Construction of  Vyayam Shala Building","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","999000"
"69","Normal/Others","WS/MP112/2025-2026/133532-Construction of buildings for sports facilities","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Malatwadi, Tal.Chandgad, Vyayamshala Building Construction","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","05-Aug-2025","999999"
"70","Trust and Society","WS/MP112/2025-2026/212361-Construction of boundary walls of existing public and community buildings","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Construction of a wall compound for the school at Dronagiri Educational Institute, Mhaswad, Taluka Man, District Satara.","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","18-Aug-2025","296000"
"71","Normal/Others","WS/MP112/2025-2026/162318-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","BEED(DISTRICT COLLECTOR BEED_IDA)","Construction of cement road from Mahadev Waghmare Home to Balasaheb Waghmare Home in At/Po. Makegaon, Tal. Ambajogai Ward no. 3","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","19-Aug-2025","999264"
"72","Normal/Others","WS/MP112/2025-2026/162321-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","BEED(DISTRICT COLLECTOR BEED_IDA)","Construction of cement road from Gangadhar Deshmukh Home to Amol Deshmukh Home in At/Po. Makegaon, Tal. Ambajogai Ward no. 3","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","19-Aug-2025","999264"
"73","Normal/Others","WS/MP112/2025-2026/162320-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","BEED(DISTRICT COLLECTOR BEED_IDA)","Construction of cement road from Angad Waghmare Home to Sukhdev Tupsagar Home in At/Po. Makegaon, Tal. Ambajogai Ward no. 3","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","19-Aug-2025","999264"
"74","Trust and Society","WS/MP112/2025-2026/225938-Construction of boundary walls of existing public and community buildings","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Construction of a wall compound for Loknete Hon. Balasaheb Thorat College of Arts, Commerce and Science, Talegaon, Sangamner Taluka, Ahilyanagar District (Ahmednagar).","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","26-Aug-2025","1269859"
"75","Normal/Others","WS/MP112/2025-2026/228324-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Construction of  community halls in Bhade, Tal.Khandala, Dist.Satara","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","05-Sep-2025","1000000"
"76","Normal/Others","WS/MP112/2025-2026/223393-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Construction of PCC Road from house of Shri Ajay Sah towards Nahar Khand in Village and Panchayat Patkholi, Block Kateya, District Gopalganj, Bihar.","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","27-Sep-2025","1095754"
