"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"11","Normal/Others","WS/MP18294/2025-2026/139219-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Kakodi, Ta. Deori, Dist. Gondia me Kabir Kuti Zariya Parisar me Samajmandir Bandhkam.","05-Sep-2024","06-Aug-2025","700000","Sanction"
"12","Normal/Others","WS/MP18294/2025-2026/140446-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Fulchur, Ta. Dist. Gondia me ward no. 2 me samaj kalyan bhawan ke samne Jilha Shramik Patrakar Bhawan ka Nirman.","12-Sep-2024","10-Jul-2025","1000000","Sanction"
"13","Normal/Others","WS/MP112/2024-2025/141725-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","Construction of Samajik Sabhagruh in Bhuinj Maladewadi","19-Sep-2024","28-Feb-2025","1500000","Sanction"
"14","Normal/Others","WS/MP113/2024-2025/142040-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Construction of cultural Hall Near Lalkhapura Makraj Masjid","20-Sep-2024","14-Oct-2024","2000000","Sanction"
"15","Normal/Others","WS/MP113/2024-2025/142041-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Construction of Cultural Hall near jaspura Masjid","20-Sep-2024","14-Oct-2024","2000000","Physical Inspection"
"16","Normal/Others","WS/MP18294/2024-2025/142159-Construction of community centers and community halls","Maharashtra","BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Mokhara, Ta. Pauni, Dist. Bhandara me Hanuman Mandir Paraisar me Sabhamandap Bandhkam.","21-Sep-2024","07-Jan-2025","500000","Physical Inspection"
"17","Normal/Others","WS/MP112/2025-2026/143891-Construction of community centers and community halls","Maharashtra","RATNAGIRI(District Collector Ratnagiri_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","Construction of Sabha Mandap in Prabhanvalli, Gangeshwarwadi Near School No. 01 Tal. Lanja, Dist. Ratnagiri","27-Sep-2024","13-Feb-2026","1000000","Sanction"
"18","Normal/Others","WS/MP18294/2025-2026/145017-Construction of community centers and community halls","Maharashtra","HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Kinhola, Ta. Vasmath, Dist. Hingoli, me Maruti Mandir Parisar me Community Hall Bandhkam","01-Oct-2024","13-Mar-2026","1199900","Physical Inspection"
"19","Normal/Others","WS/MP113/2026-2027/147452-Construction of community centers and community halls","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Recreation Center / Hall","15-Oct-2024","31-Jul-2026","1000000","Physical Inspection"
"20","Normal/Others","WS/MP18294/2024-2025/147954-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Mundipar Khurd, Ta. Dist. Gondia ward No. 2 me Chhabilal Gautam ke niwas ke pass Community Hall","17-Oct-2024","20-Mar-2025","495592","Physical Inspection"
"21","Normal/Others","WS/MP18292/2025-2026/167191-Construction of community centers and community halls","Maharashtra","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","Construction of Sabhamandap in the village Ganjgaon Tq. Biloli in the premises of Grampanchayat near Mahalaxmi Mandir","21-Jan-2025","03-Feb-2026","997189","Physical Inspection"
"22","Normal/Others","WS/MP18286/2026-2027/169598-Construction of community centers and community halls","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Construction of multipurpose Virangula Kendra at near Kumbare Township Anandi Jyestha Nagarik Sangh Kothrud,Pune New Ward No 31 Old Ward No  10","28-Jan-2025","20-May-2026","1000000","Physical Inspection"
"23","Normal/Others","WS/MP18286/2024-2025/169637-Construction of community centers and community halls","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Waterproofing of the hall at the multipurpose center at Sahakar Udyan Erandwana.","28-Jan-2025","29-Mar-2025","992450","Physical Inspection"
"24","Normal/Others","WS/MP18294/2025-2026/177221-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","KATANGI (PRAKLAP) ME MAA DANTESHWARI MATA MANDIR CHOWK ME SABHGRAH","24-Feb-2025","06-Aug-2025","500000","Sanction"
"25","Normal/Others","WS/MP108/2025-2026/190164-Construction of community centers and community halls","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at kopargaon","09-Apr-2025","11-Apr-2025","1000000","Work Completed"
"26","Normal/Others","WS/MP108/2025-2026/190181-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at gurukrupa colony, Rahatgaon, Amravati.","09-Apr-2025","15-May-2025","1500000","Work Completed"
"27","Normal/Others","WS/MP108/2025-2026/190182-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at gurudeo nagar, Teosa","09-Apr-2025","06-Aug-2025","1000000","Sanction"
"28","Repair and Renovation","WS/MP18286/2025-2026/192197-Construction of community centers and community halls","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Repair Of Sabhagruh at Ward No.11 Kothrud","17-Apr-2025","08-Oct-2025","995788","Physical Inspection"
"29","Normal/Others","WS/MP18286/2025-2026/192201-Construction of community centers and community halls","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Create Waiting Room at Sub.Div.No.3 Office. Ward no 20","17-Apr-2025","30-Jan-2026","995304","Physical Inspection"
"30","Trust and Society","WS/MP108/2026-2027/194966-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall","28-Apr-2025","02-Jul-2026","1000000","Work partially Completed"
"31","Normal/Others","WS/MP108/2025-2026/194984-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at taroda tq morshi","28-Apr-2025","06-Aug-2025","1500000","Work Completed"
"32","Normal/Others","WS/MP108/2025-2026/194987-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at Shanivar peth, warud","28-Apr-2025","18-Aug-2025","1800000","Sanction"
"33","Normal/Others","WS/MP18294/2025-2026/207704-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","SUKALI (DAK) ME PARMATMA EK BHAWAN KE PASS SABHAMANDAP NIRMAN","10-Jun-2025","06-Aug-2025","1000000","Physical Inspection"
"34","Trust and Society","WS/MP112/2025-2026/212357-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","Construction of a cultural hall for the school at Dronagiri Educational Institute, Mhaswad, Taluka Man, District Satara","25-Jun-2025","03-Jul-2025","1091019","Physical Inspection"
"35","Normal/Others","WS/MP108/2025-2026/213487-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at Saur Tq Bhatkuli","29-Jun-2025","06-Feb-2026","2000000","Vendor Identification"
"36","Normal/Others","WS/MP18294/2026-2027/221017-Construction of community centers and community halls","Maharashtra","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","karivane gaon ke chorgeaadi me samajik sabhagrah nirman","22-Jul-2025","17-Jun-2026","1000000","Work partially Completed"
"37","Normal/Others","WS/MP18294/2026-2027/221022-Construction of community centers and community halls","Maharashtra","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","karivane gaon ke warchiwadi me samajik sabhagrah nirman","22-Jul-2025","20-Apr-2026","1000000","Work partially Completed"
"38","Normal/Others","WS/MP18294/2025-2026/221027-Construction of community centers and community halls","Maharashtra","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","vadshet me samajik sabhagrah nirman","22-Jul-2025","13-Mar-2026","1000000","Work partially Completed"
"39","Normal/Others","WS/MP18294/2025-2026/221030-Construction of community centers and community halls","Maharashtra","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","dharavali me samajik sabhagrah nirman","22-Jul-2025","11-Mar-2026","1000000","Work partially Completed"
"40","Normal/Others","WS/MP112/2025-2026/228324-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","Construction of  community halls in Bhade, Tal.Khandala, Dist.Satara","22-Aug-2025","22-Aug-2025","1000000","Physical Inspection"
"41","Normal/Others","WS/MP18286/2026-2027/228658-Construction of community centers and community halls","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Construction a hall ARAI Road, Hanuman Nagar, Kothrud  Ward No11","15-Sep-2025","21-May-2026","500000","Physical Inspection"
"42","Normal/Others","WS/MP18292/2026-2027/228982-Construction of community centers and community halls","Maharashtra","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","Construction of Sabhamandap at Narangal (Bk.), Tq. Deglur Dist. Nanded in the area of Grampachayat near Vitthal Rukhmai Temple","25-Aug-2025","12-Jun-2026","998000","Physical Inspection"
"43","Normal/Others","WS/MP18286/2026-2027/234330-Construction of community centers and community halls","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Construction of multipurpose hall in the  Mouje Kharvade Taluka Mulshi","15-Sep-2025","21-May-2026","1000000","Physical Inspection"
"44","Trust and Society","WS/MP108/2025-2026/240914-Construction of community centers and community halls","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of Hall at Open Space , Sangamner","09-Oct-2025","03-Mar-2026","1000000","Sanction"
"45","Normal/Others","WS/MP108/2025-2026/246281-Construction of community centers and community halls","Maharashtra","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","construction of hall at maroti temple, Khodegaon Sambhaji Nagar","05-Nov-2025","19-Dec-2025","2000000","Physical Inspection"
"46","Normal/Others","WS/MP18294/2026-2027/247439-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","gram chorkhamara me bus stop chowk me sabhamandap nirman","11-Nov-2025","03-Apr-2026","1000000","Work partially Completed"
"47","Normal/Others","WS/MP18422/2026-2027/249872-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","NA","21-Nov-2025","28-Jul-2026","1500000","Sanction"
"48","Normal/Others","WS/MP18422/2025-2026/250368-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of community hall at Wathar (Baloba Temple)","25-Nov-2025","14-Jan-2026","1000000","Sanction"
"49","Normal/Others","WS/MP18422/2025-2026/250370-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of  community hall at Ond (Jotiba Mandir)","25-Nov-2025","14-Jan-2026","1000000","Sanction"
"50","Normal/Others","WS/MP18422/2025-2026/250371-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction community hall at Shewalewadi Undale (Hanuman Temple)","25-Nov-2025","14-Jan-2026","1000000","Sanction"
"51","Normal/Others","WS/MP18422/2025-2026/250388-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of community hall at Shindemala in Kaledhon","25-Nov-2025","24-Dec-2025","1000000","Sanction"
"52","Normal/Others","WS/MP18422/2025-2026/250392-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of community Hall at Vikhale","25-Nov-2025","24-Dec-2025","1000000","Sanction"
"53","Normal/Others","WS/MP18422/2025-2026/250548-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of community Hall at Ranjani Shindevasti","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"54","Normal/Others","WS/MP18422/2025-2026/250550-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of  community hall at Bhalwadi","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"55","Normal/Others","WS/MP18422/2025-2026/250564-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of Community hall at Varamhaswad Tupewadi","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"56","Normal/Others","WS/MP18422/2025-2026/250579-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of community hall at arvi","26-Nov-2025","14-Jan-2026","2000000","Sanction"
"57","Normal/Others","WS/MP18422/2025-2026/250585-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a Community  hall at Rautwadi","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"58","Normal/Others","WS/MP18422/2025-2026/250587-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a community hall at Ambawade","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"59","Normal/Others","WS/MP18422/2025-2026/250596-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a Community hall at Ekambe.","26-Nov-2025","14-Jan-2026","1500000","Sanction"
"60","Normal/Others","WS/MP18422/2025-2026/250609-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of community hall at Bhuij Phulenagar","26-Nov-2025","05-Jan-2026","2500000","Sanction"
"61","Normal/Others","WS/MP18422/2025-2026/250613-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a community hall at Kavadi","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"62","Normal/Others","WS/MP18422/2025-2026/250635-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of   Community hall in Matangavasti Kalavade","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"63","Normal/Others","WS/MP18422/2025-2026/250641-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a Community  hall in Hivarwadi backward class","26-Nov-2025","24-Dec-2025","1000000","Sanction"
"64","Normal/Others","WS/MP18422/2025-2026/250644-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a community temple in Matangavasti","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"65","Normal/Others","WS/MP18422/2025-2026/250649-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a   Community  hall in a backward class","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"66","Normal/Others","WS/MP18422/2025-2026/250653-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a  Community  hall in a backward class","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"67","Normal/Others","WS/MP18422/2025-2026/250654-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a Community Hall at Warsoli Koli","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"68","Normal/Others","WS/MP18422/2025-2026/250656-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a Community hall at Kumbharoshi","26-Nov-2025","14-Jan-2026","1000000","Sanction"
"69","Normal/Others","WS/MP18422/2025-2026/253515-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a social hall at Dhumalwadi","11-Dec-2025","14-Jan-2026","1450000","Sanction"
"70","Normal/Others","WS/MP18422/2025-2026/254486-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of community  hall in the backward class settlement of Pachwad","16-Dec-2025","24-Dec-2025","1000000","Sanction"
"71","Normal/Others","WS/MP18422/2025-2026/256737-Construction of community centers and community halls","Maharashtra","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","Construction of a hall at Goregaon (Nimsod)","02-Jan-2026","14-Jan-2026","1000000","Sanction"
"72","Normal/Others","WS/MP18294/2026-2027/276641-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","GIDHADI ME BIRSA MUNDA CHOWK ME SABHAMANDAP NIRMAN","30-Mar-2026","28-Jul-2026","500000","Sanction"
"73","Normal/Others","WS/MP108/2026-2027/284015-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at hanuman mandir Ambada","27-May-2026","05-Aug-2026","1000000","Work partially Completed"
"74","Normal/Others","WS/MP18294/2026-2027/290392-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Temnitoli me Ram Mandir ke pass sabhamandap Nirman Karya","30-Jun-2026","01-Sep-2026","500000","Sanction"
"75","Trust and Society","WS/MP108/2024-2025/140691-Construction of public libraries and reading rooms","Maharashtra","BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of public libraries and reading rooms in Raje Chhatrapati art college at Dhamangaon Badhe, Tq Motala Dist. Buldhana.","17-Sep-2024","14-Oct-2024","1787811","Physical Inspection"
"76","Normal/Others","WS/MP18290/2025-2026/141353-Construction of public libraries and reading rooms","Maharashtra","DHULE(DISTRICT COLLECTOR DHULE_IDA)","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","Construction of public libraries and reading rooms","16-Sep-2024","26-Aug-2025","4966790","Physical Inspection"
"77","Normal/Others","WS/MP113/2024-2025/143939-Construction of public libraries and reading rooms","Maharashtra","THANE(DISTRICT COLLECTOR THANE_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Construction of library at 92-Bengalpura near Sonapur Masjid","27-Sep-2024","15-Oct-2024","2000000","Work partially Completed"
"78","Normal/Others","WS/MP18286/2025-2026/192196-Construction of public libraries and reading rooms","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Construction Of Library at Ward No.11 Kishkindhanagar Kothrud","17-Apr-2025","08-Oct-2025","997192","Physical Inspection"
"79","Normal/Others","WS/MP18292/2025-2026/142719-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Maharashtra","LATUR(DISTRICT COLLECTOR LATUR_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","Latur City Ward No. 1 Siddheshwar  Crematorium development","23-Sep-2024","18-Aug-2025","999903","Physical Inspection"
"80","Normal/Others","WS/MP18294/2025-2026/145020-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Maharashtra","HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Chondhi Tarf Sendursena, Ta. Vasmath, Dist. Hingoli me Banjara Samaj ke liye Smashanbhumi ka Nirman","01-Oct-2024","13-Mar-2026","799723","Work partially Completed"
