"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"16","Normal/Others","WS/MP18334/2024-2025/152226-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC Road from Jayachandra Reddy House to Venkata Krishna Reddy House & Other Streets at Madireddygaripalli H/o Gurrappagaripalli GP of Veeraballi Mandal","13-Nov-2024","491418","31-Dec-2024"
"17","Normal/Others","WS/MP18334/2024-2025/152227-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Kothapalli to Rajampet R & B Road at Kothapalli H/o Thatiguntapalli GP of Veeraballi Mandal","13-Nov-2024","489295","31-Dec-2024"
"18","Normal/Others","WS/MP18334/2024-2025/147289-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Formation and CC Road SK Shavali Thota To SC Colany Tanguturu Village of Tanguturu GP","16-Oct-2024","490000","31-Dec-2024"
"19","Normal/Others","WS/MP18334/2024-2025/147290-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC Road From Balija vidi Alisetti Gangaiah House to SC & OC Burial Ground in Tanguturu Village of Tanguturu GP","16-Oct-2024","490000","31-Dec-2024"
"20","Normal/Others","WS/MP18334/2024-2025/147291-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Formation of Gravel and Metal Road from R&B road To Nagendra Fields in T.V. Puram Village of T.V. Puram GP, Nandalur Mandal.","16-Oct-2024","480000","31-Dec-2024"
"21","Normal/Others","WS/MP18334/2024-2025/147292-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Formation of Gravel and Metal Road from R&B Road  To Subbaiah Fields road in T.V. Puram Village of T.V. Puram GP, Nandalur Mandal.","16-Oct-2024","480000","31-Dec-2024"
"22","Normal/Others","WS/MP18334/2024-2025/147293-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC Road at Vijay sagar Nagar, Adapur village of Adapur GP, Nandalur Mandal.","16-Oct-2024","300000","31-Dec-2024"
"23","Normal/Others","WS/MP18334/2024-2025/147294-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Formation of Gravel and Metal Road from Adapoor R&B road  To Subbaiah Fields in Adapur Village of Adapur GP, Nandalur Mandal","16-Oct-2024","300000","31-Dec-2024"
"24","Normal/Others","WS/MP18334/2024-2025/147295-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Arundathi Wada MPP School to Water Tank in Nandalur Village of Nandalur GP, Nandalur Mandal","16-Oct-2024","490000","31-Dec-2024"
"25","Normal/Others","WS/MP18334/2024-2025/147296-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road fromn Kalesha Rooms To Palle Venkata Ramana House in Aravapalli Village, Nagireddipalle G.P, Nandalur Mandal.","16-Oct-2024","490000","01-Jan-2025"
"26","Normal/Others","WS/MP18334/2024-2025/147297-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Nagamma House to Babu House of Aravapalli Village, Nagireddipalle, G.P, Nandalur Mandal","16-Oct-2024","200000","31-Dec-2024"
"27","Normal/Others","WS/MP18334/2024-2025/147298-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from R&B Road  to Cheruvu River in Patur village of Patur G.P, Nandaluru Mandal.","16-Oct-2024","300000","31-Dec-2024"
"28","Normal/Others","WS/MP18334/2024-2025/147299-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road From R&B Road to Chandra Shekar House in Patur village of Patur G.P, Nandaluru Mandal","16-Oct-2024","278187","31-Dec-2024"
"29","Normal/Others","WS/MP18334/2024-2025/147300-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from K.Ramohan House To K.Anjaneyulu House in Patur village of Patur G.P, Nandalur Mandal","16-Oct-2024","247071","31-Dec-2024"
"30","Normal/Others","WS/MP18334/2024-2025/152220-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC Road from S.Santha mma House to M.Surya House at Mandaram Rachapalli of Mandaram GP, Rajampeta Mandal","13-Nov-2024","371044","31-Dec-2024"
"31","Normal/Others","WS/MP18334/2024-2025/152221-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC Road from P.Balaram House to M.Suresh House at Mandaram AW if Mandaram GP, Rajampeta Mandal","13-Nov-2024","432764","31-Dec-2024"
"32","Normal/Others","WS/MP18334/2024-2025/152222-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Subbarayu du House to Venkatesh Nayudu House in Peddakara mpalli GP of Rajampeta Mandal","13-Nov-2024","499996","31-Dec-2024"
"33","Normal/Others","WS/MP18334/2025-2026/162181-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from CRA road to Sivalayam in Gundluru G.P., Rajampet Mandal","29-Dec-2024","500000","10-Apr-2025"
"34","Normal/Others","WS/MP18334/2025-2026/162182-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing urgent repairs in km.5/0 to 5/8 of Gundluru - Seshamambapuram (KDMD 329), Rajampeta Mandal","29-Dec-2024","500000","02-Jun-2025"
"35","Normal/Others","WS/MP18334/2025-2026/162183-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road at BC Colony, Naramarajupalli Village, Rajampeta Mandal","29-Dec-2024","600000","10-Apr-2025"
"36","Normal/Others","WS/MP18334/2024-2025/134422-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Internal CC road from K Ganga Rao House to S Lakshmi Devi House in Gowri Shanker Colony of Patur GP of Nandalur Mandal","30-Jul-2024","242465","12-Sep-2024"
"37","Normal/Others","WS/MP18334/2024-2025/134423-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Internal CC road from Gangamma Temple to Y Nagaraju House in Gowri Shanker Colony of Patur GP of Nandalur Mandal","30-Jul-2024","193740","12-Sep-2024"
"38","Normal/Others","WS/MP18334/2024-2025/134424-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Internal CC road from Ummadi Hari Krishna House to Ummadi Chinna House in ST Colony of Patur GP of Nandalur Mandal","30-Jul-2024","173343","12-Sep-2024"
"39","Normal/Others","WS/MP18334/2024-2025/134425-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Internal CC road from E Venkata Subbaiah House to E Siva Kumar House in ST Colony of Patur GP of Nandalur Mandal","30-Jul-2024","240549","12-Sep-2024"
"40","Normal/Others","WS/MP18334/2024-2025/134426-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Internal CC road from J Mallewari House to N Subhashini House in ST Colony of Patur GP of Nandalur Mandal","30-Jul-2024","137543","12-Sep-2024"
"41","Normal/Others","WS/MP18334/2024-2025/134821-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Isukapalli main road to Pratap Achari House at Siddulapalli Village of Tallapaka GP Rajampeta Mandal","06-Aug-2024","448992","12-Sep-2024"
"42","Normal/Others","WS/MP18334/2024-2025/134822-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Pratap Achari House to Balaraju Naveena House at Siddulapalli Village Tallapaka GP Rajampeta Mandal","06-Aug-2024","449814","12-Sep-2024"
"43","Normal/Others","WS/MP18334/2024-2025/136407-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Gravel Road from Lebaka Vengamamba Puram to Naraya Nellore Road at Nallathimmayapalli GP Nandalur Mandal","19-Aug-2024","1497736","18-Oct-2024"
"44","Normal/Others","WS/MP18334/2025-2026/195795-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC Road from KM Palli Road  to P. Madhusudhan Reddy House at Veeraballi GP of Veeraballi Mandal","01-May-2025","246556","02-Jun-2025"
"45","Normal/Others","WS/MP18334/2025-2026/195796-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC Road from R and B Road  to Basha House at Veeraballi GP of Veeraballi Mandal","01-May-2025","342405","02-Jun-2025"
"46","Normal/Others","WS/MP18334/2025-2026/200332-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Odeti chinnaiah House to Ganapathi Subbaiah  House at Kumpinipuram Habitation via  Kumpinipuram of Nookinenipalli GP in Nandalur Mandal","16-May-2025","490000","18-Jun-2025"
"47","Normal/Others","WS/MP18334/2025-2026/200333-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Ganapathi Subbaiah House to Ganapathi Narayana House at Kumpinipuram Habitation via  Kumpinipuram of Nookinenipalli GP in Nandalur Mandal","16-May-2025","490000","18-Jun-2025"
"48","Normal/Others","WS/MP18334/2025-2026/200334-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Ganapathi Narayana House to MPUP School at Kumpinipuram Habitation via  Kumpinipuram of Nookinenipalli GP in Nandalur Mandal","16-May-2025","490000","18-Jun-2025"
"49","Normal/Others","WS/MP18334/2025-2026/176769-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing drainage from G Rajsekhar house to K Hari babu house in veeraballi town Veeraballi GP of Veeraballi Mandal","20-Feb-2025","500000","10-Apr-2025"
"50","Normal/Others","WS/MP18334/2025-2026/205232-Providing drains and gutters for public drainage","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing drinage from Subbaiah House to Sivalayam in Upparapalli at Vongimall GP Veeraballe Mandal","23-Jun-2025","500000","03-Sep-2025"
"51","Normal/Others","WS/MP18334/2024-2025/152225-Providing drains and gutters for public drainage","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing drainage in Peddamadigapalli H/o in D.Racchapalli G.P of Veeraballi Mandal","13-Nov-2024","490000","31-Dec-2024"
"52","Normal/Others","WS/MP18334/2024-2025/147286-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing protection arrangements to safe guard the Banks of Budlakarikiti Kunta surplus course near Pulapathuru Village in Rajampet Mandal","15-Oct-2024","500000","31-Dec-2024"
"53","Normal/Others","WS/MP18334/2025-2026/205227-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal C C road from Ananda Raju House To Siva Senkar Raju House in Rachapalli Village Sanipaiah GB Veeraballi Mandal","23-Jun-2025","400000","22-Jul-2025"
"54","Normal/Others","WS/MP18334/2025-2026/205211-Installing tube-wells and borewells","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing New Bore well and S.P set Yallagada Village, P. Karampalli GP, Rajampet Mandal","23-Jun-2025","300000","22-Jul-2025"
"55","Normal/Others","WS/MP18334/2025-2026/205231-Installing tube-wells and borewells","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Borewell and Pump set in Lakshmi Nagar at Vongimalla GP, Veeraballe Mandal","23-Jun-2025","300000","22-Jul-2025"
"56","Normal/Others","WS/MP18334/2026-2027/288286-Installing community drinking water plants","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Drinking water facility at Muslim Burriel Ground of Patur GP in Nandalur Mandal","23-Jun-2026","200000","15-Jul-2026"
"57","Normal/Others","WS/MP18334/2024-2025/134420-Installing community drinking water plants","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing New Filter Point, SP Set and Pumping Main at Tallapaka H/o. Tallapaka GP of Rajampeta Mandal","30-Jul-2024","2416479","12-Sep-2024"
"58","Normal/Others","WS/MP18334/2024-2025/134421-Installing community drinking water plants","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Construction of Roof shed and supply and installation of Mineral Water Plant in Gowri Shanker Nagar of Patur GP of Nandalur Mandal","30-Jul-2024","492811","12-Sep-2024"
"59","Normal/Others","WS/MP18334/2025-2026/205178-Installing community drinking water plants","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing R.O. Water Plant  in Rajugari Palli Village, Ananthaiahgari palli  G.P of Pullampet Mandal","23-Jun-2025","500000","22-Jul-2025"
"60","Normal/Others","WS/MP18334/2025-2026/176767-Providing supply pipelines for drinking water","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Construction of Toilet and Providing water facility at the Junior College at Veeraballi GP of Veeraballi Mandal","20-Feb-2025","400000","10-Apr-2025"
"61","Normal/Others","WS/MP18334/2025-2026/205192-Providing supply pipelines for drinking water","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Pipe line at Chennaiahagari Palli (V) From OHSR to internal street for river water of Yerracheruvupalli GP in Nandalur Mandal","23-Jun-2025","2700000","22-Jul-2025"
"62","Normal/Others","WS/MP18334/2025-2026/205212-Providing supply pipelines for drinking water","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing ELSR and Distribution main at Yekinapalli Village, Pulaputthur GP of Rajampet Mandal","23-Jun-2025","1000000","22-Jul-2025"
"63","Normal/Others","WS/MP18334/2025-2026/205210-Providing supply pipelines for drinking water","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Extension of Pipeline from Rajsekar Raju Shop to OHSR near RO Plant at Thallapak V and GP of Rajampet Mandal","23-Jun-2025","480000","22-Jul-2025"
"64","Normal/Others","WS/MP18334/2025-2026/212700-Providing supply pipelines for drinking water","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Pipe Line at Penagalur, A.W. Habitations of Penagalur GP and Mandal, Rly Kodur","26-Jun-2025","200000","22-Jul-2025"
"65","Normal/Others","WS/MP18334/2024-2025/154848-Purchase of mobile sanitation equipment","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Purchase of Two (02) number of Tractors along with trailers for sanitary purpose to the Rajampet Municipality, Annamayya District","26-Nov-2024","2000000","31-Dec-2024"
"66","Normal/Others","WS/MP18334/2026-2027/287147-Providing supply pipelines for drinking water","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing GI materials for maintenance of water supply scheme of Rajampet Municipality","19-Jun-2026","325000","24-Jul-2026"
"67","Normal/Others","WS/MP18334/2026-2027/287148-Providing supply pipelines for drinking water","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing HDPE materials for maintenance of water supply scheme of Rajampet Municipality","19-Jun-2026","410000","24-Jul-2026"
"68","Normal/Others","WS/MP18334/2026-2027/287149-Providing supply pipelines for drinking water","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing Gate Valves and PVC materials for maintenance of water supply scheme of Rajampet Municipality","19-Jun-2026","340000","24-Jul-2026"
"69","Normal/Others","WS/MP18334/2026-2027/287150-Providing supply pipelines for drinking water","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing DI Valves for maintenance of water supply scheme to Rajampet Municipality","19-Jun-2026","425000","24-Jul-2026"
