"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"20","Normal/Others","WS/MP145/2024-2025/162423-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","INTERLOCK ROAD DEVELOPMENT WORK FROM MAIN DAMAR ROAD TO JHABARMAL KI DHANI","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","17-Sep-2025","997888"
"21","Normal/Others","WS/MP145/2025-2026/178909-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","CC BLOCK ROAD DEVELOPMENT FROM MAIN ROAD TO BANWARI DHUKALRAMS HOME MUSAHIB KI DHANI GRAM PANCHAYAT SHYAMGARH PANCHAYAT SAMITI PIPRALI","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","18-Mar-2026","1470105"
"22","Trust and Society","WS/MP145/2024-2025/137934-Construction of boundary walls of existing public and community buildings","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","BOUNDARY WALL DEVELOPMENT WORK ON LAND (KHASRA NO. 716) SITUATED IN REVENUE VILLAGE PATWAR HALKA SINVAR, TEHSIL AND DIST JAIPUR OWNED BY PANDIT DEENDAYAL UPADHYAY SMRITI SAMAROH SAMITI","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","30-Oct-2025","991690"
"23","Normal/Others","WS/MP145/2025-2026/166607-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Bridge over canal and CC Block Road cum safety wall development work from plot of baluram (east) via house of babu singh to main road in chandela ki guar, GP Chhapli, Panchayat samiti Bhim","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","17-Jan-2026","834589"
"24","Normal/Others","WS/MP145/2025-2026/198951-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","interlock Development Work, Karni Mata Mandir ke Pass, Village Bhojasar Chhota","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","31-Aug-2026","1000000"
"25","Normal/Others","WS/MP145/2025-2026/198953-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Construction of Interlock from Main Road to Surendra Singh House","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","17-Mar-2026","1500000"
"26","Normal/Others","WS/MP145/2025-2026/190308-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Construction of Boundary, Sarv Samaj Mokshdhaam","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","999485"
"27","Normal/Others","WS/MP145/2025-2026/198952-Lighting of public spaces","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","6 Light Installation Work","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","31-Aug-2026","400000"
"28","Normal/Others","WS/MP145/2025-2026/248583-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","CC Road Drainage and Pipe Development work in Talotiya Basti of Gram Datooli","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","22-Jan-2026",""
"29","Normal/Others","WS/MP145/2025-2026/194909-Construction of public libraries and reading rooms","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Gram Panchayat Gandrawa me Pustakalay Nirman Kary","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","20-Jan-2026","804548"
"30","Normal/Others","WS/MP145/2025-2026/232819-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Grewal Sadak Nirman Karya from Sheeshram Dudi House to Nathuram in Gram Bagariyon ki Dhani","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","30-Jul-2026","397911"
"31","Normal/Others","WS/MP145/2025-2026/232820-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Grewal Sadak Nirman Karya from Richhpal Bagariya House to Puranmal Kumawat ki Dhani in gram Bagariyon Ki Dhani","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","30-Jul-2026","384296"
"32","Normal/Others","WS/MP146/2023-2024/10083-Construction of boundary walls of existing public and community buildings","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Government Primary School, Bhilon & Bhaton ki dhani Manpura Kharda ki char diwari / toilet construction work","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","08-Jan-2025","1499472"
"33","Normal/Others","WS/MP146/2023-2024/11229-Development of playfields and sports grounds","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Construction of boundary wall of Play ground at Gram Panchayat Rajlani, P.S. Bhopalgarh, Jodhpur","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","03-Mar-2024","992000"
"34","Normal/Others","WS/MP146/2023-2024/11222-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Construction of Public Reading Room cum Library near Gaziram Meghwal residence ward no.3, Gram Panchayat Chelak, P.S. Fatehgarh, Jaisalmer","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","10-Aug-2024","1000000"
"35","Normal/Others","WS/MP146/2023-2024/11221-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Construction of Public Library / Reading Room with Toilet & Washroom near Sabal Singh residence Hapa, Gram Panchayat, Adbala, P.S. Sam, Dist. Jaisalmer","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","26-Sep-2024","1000000"
"36","Normal/Others","WS/MP146/2023-2024/11223-Construction of community centers and community halls","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Construction of Public Meeting Hall near Balsingh/Viradhsingh residence, Gram Panchayat Phuliya, P.S. Sam, Jaisalmer","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","05-Jul-2024","1000000"
"37","Repair and Renovation","WS/MP146/2023-2024/10975-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Construction of Iron shade of cemetery/graveyard (Kabristan) at Gram Panchayat Deidas, P.S. Nohar","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","26-Jan-2025","700000"
"38","Normal/Others","WS/MP146/2023-2024/10966-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Construction of boundary wall at cremation ground, Village Nehrana, Gram Panchayat Bhanguli, P.S. Nohar, Dist. Hanumangarh","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","12-Sep-2024","499200"
"39","Normal/Others","WS/MP146/2023-2024/14909-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Interlocking Road construction from Damar Sadak to Government Primary School's tala, G.P. Meethra Khurd, Dhorimanna, Dist. Barmer","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","07-Jul-2025","1500000"
"40","Normal/Others","WS/MP146/2023-2024/11226-Construction of community centers and community halls","Rajasthan","CHITTORGARH(DISTRICT COLLECTOR CHITTORGARH_IDA)","Construction of Community Hall in Regar Mohalla,Gram Panchayat Netawalgarh Pachhli, Dist. Chittorgarh","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2025","2500000"
"41","Normal/Others","WS/MP146/2023-2024/11247-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Construction of Public Reading Room/Library near Khetsingh/Ramsingh residence, Gram Panchayat Moolana, Fatehgarh, Jaisalmer","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","18-Mar-2026","1499650"
"42","Normal/Others","WS/MP146/2023-2024/11883-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Construction of C.C. /Interlocking Road from Chhote Sua residence towards Bairwa village, Gram Panchayat Gorda, P.S./Block Todabhim, Karauli","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","09-Jun-2025","999890"
"43","Normal/Others","WS/MP146/2024-2025/119063-Construction of boundary walls of existing public and community buildings","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Construction of Ring-wall in Ground of Government Higher Secondary School, Aabapura in Gram Panchayat Abapura, Panchayat Samiti & Block Banswara, Dist. Banswara","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","20-Mar-2025","977700"
"44","Normal/Others","WS/MP146/2024-2025/12654-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Construction of CC Road/Interlocking in Bairwa Basti, Village Dangarwada, Gram Panchayat Nayagaon Baulka, Dist. Alwar","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","28-Feb-2025","994563"
"45","Normal/Others","WS/MP146/2024-2025/12655-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of Class Rooms at Government Higher/Primary School Trisangia at Gram Panchayat Sargoth Padampura, Kuchaman City, Nagaur","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","08-Aug-2025","999390"
"46","Normal/Others","WS/MP146/2023-2024/12652-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Construction of CC/Interlocking from the residence of Bhaukri  via Hareram Bairwa residence to Balai ki Dhani, Village Bhandodi, Malkheda, Alwar","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","28-Oct-2024","985431"
"47","Normal/Others","WS/MP146/2024-2025/146677-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Construction of Greval Road/Sadak  works Mandau Pulia from Pappudev/Kanwarlal ke Murabbe towards Mohanram/Hardas's Murabbe in Gram Panchayat Bankalsar, P.S. Mohangarh/Jaisalmer, Dist. Jaisalmer","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","15-Jul-2025","1000000"
"48","Normal/Others","WS/MP146/2024-2025/137714-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Construction of Interlocking Bricks Kharanja from Water Tank to Bijjo Jatav's house in Vill.& Gram Panchayat Bhatawali, Deeg","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","25-Nov-2025","1499652"
"49","Normal/Others","WS/MP146/2024-2025/11244-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of 4 Class Rooms at Government Higher Secondary School, Nawan Shahar, Block Nawa, Dist. Nagaur","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","13-Aug-2025","2208899"
"50","Normal/Others","WS/MP146/2024-2025/137783-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of 2 Class Rooms in Shaheed Rudharam Bhadu Govt. Higher Secondary School, Potaliya Manjara, Gram Panchayat Raidhanu, Nagaur","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jun-2025","1998264"
"51","Normal/Others","WS/MP146/2024-2025/11893-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of 4 class rooms at Government Higher Secondary School, Gram Panchayat Dasana Khurd, P.S./Block Molasar, Nagaur","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","10-Jun-2025","1210000"
"52","Normal/Others","WS/MP146/2024-2025/146661-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Construction of of C.C. Road (Sadak Nirman) from house of Arjan Jatav to Roopsingh Jatav in Village Bhainsa, Gram Panchayat Jhadisa, P.S. Todabhim, Gangapur City","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","13-Aug-2025","999861"
"53","Normal/Others","WS/MP146/2024-2025/137771-Construction of buildings for sports facilities","Rajasthan","KOTA(DISTRICT COLLECTOR KOTA_IDA)","Construction of Khel (Sports) Sankalp  at Jai Minesh Adivasi (JMA) University, Ward No.9, Kota South, Rajasthan","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","01-Apr-2026","2000000"
"54","Normal/Others","WS/MP146/2024-2025/141421-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Construction of C.C. Road / Kharanja with Drain  from the house of Sher Singh Jatav to Bengal Nangla crossing in Gram Panchayat Samoochi, Panchayat Samiti Kathumar, Dist. Alwar","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2025","1494708"
"55","Normal/Others","WS/MP146/2024-2025/146663-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Interlocking Bricks Kharanja Road from the tringle circle towards Pokhara in Gram Bhanwar, Gram Panchayat Dantia, P.S. Kathumar, Dist. Alwar","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","24-Oct-2025","495809"
"56","Normal/Others","WS/MP146/2024-2025/146660-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Interlocking Road construction works (Sadak nirman) from 33 KV GSS towards house of Ramdayal in Gram Panchayat Kherli Rel, P.S. Kathumar, Dist. Alwar","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2026","984800"
"57","Normal/Others","WS/MP146/2024-2025/137726-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","Construction of Interlocking Kharanja Road from the house of Jaynarayan Balai to Satveer's house in Gram Panchayat Dayal Ki Nangal, P.S. & Dist. Neem ka Thana","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","637113"
"58","Normal/Others","WS/MP146/2024-2025/146676-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Construction of Boundary wall of Cremation Ground, Kaleri at Gram Panchayat Dharanwas, P.S. Nangal Rajawatan, Dist. Dausa","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","15-Jul-2025","999825"
"59","Normal/Others","WS/MP146/2024-2025/141416-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Salumbar(DISTRICT COLLECTOR Salumbar_IDA)","Construction of C. C. Road from the house of Suresh S/o Kalu to in Govt. Primary School, Bhopafalan, Gram Panchayat Sadkari, P.S. Semari, Dist. Salumbar (Old Dist. Udaipur)","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","06-Jul-2025","499205"
"60","Normal/Others","WS/MP146/2024-2025/137712-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Construction of Boundary wall of Meghwal Cremanation ground in Village Noorsar/Jaalwali, Gram Panchayat Jaalwali, Khajuwala, Bikaner","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","26-Jul-2025","1499661"
"61","Normal/Others","WS/MP146/2024-2025/146662-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Interlocking Road cum Drain/Sewer works from the house of Maharalli towards Talai  in Gram Panchayat Rewai, P.S. Hindaun, Dist. Karauli","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jun-2025","999527"
"62","Normal/Others","WS/MP146/2024-2025/146675-Construction of rooms and halls in school and colleges","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Construction of 2 rooms in Govt. Higher Secondary School at Mishron ki Dhani, Gram Jaun, Gram Panchayat Dharanwas, P.S.  Nangal Rajawatan, Dist. Dausa","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","03-Mar-2025","998745"
"63","Normal/Others","WS/MP146/2024-2025/137768-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Construction of C.C. Road from Dharamsingh ki Dhani towards Bacchu Member ki Dhani in Gram Panchayat Sodala, Bandiqui, Dausa","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","19-Mar-2025","999357"
"64","Normal/Others","WS/MP146/2023-2024/87231-Purchase of hospital equipment","Rajasthan","JALORE(DISTRICT COLLECTOR JALORE_IDA)","Purchase of medical equipments  Leproscopy and Historoscopy at Samanya Chikitsalaya (MCH), Jalore  (Ref. Letter dt. MPLADS/RS/2023/15 dt. 18.08.2023 of amount Rs.22 lacs was not cleared and rejected earlier)","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","20-Jun-2025","2464000"
"65","Normal/Others","WS/MP146/2024-2025/138898-Installing hand pumps","Rajasthan","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Installation of Handpump (Tubewell) near the house of Ramesh Dhobi, Vill. Dharapura, Gram Panchayat Sadapur, P.S. & V. S. Rajakheda, Dist. Dholpur","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","09-Jan-2026","109993"
"66","Normal/Others","WS/MP146/2024-2025/138893-Installing hand pumps","Rajasthan","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Installation of Handpump (Tubewell) in Jatav Basti, Vill. Lalpur, Gram Panchayat Lalpur, P.S. & V. S. Rajakheda, Dist. Dholpur","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","09-Jan-2026","109993"
"67","Normal/Others","WS/MP146/2024-2025/138896-Installing hand pumps","Rajasthan","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Installation of Handpump (Tubewell) near the house of Ramsingh Prajapati, Vill. Lalpur, Gram Panchayat Lalpur, P.S. & V. S. Rajakheda, Dist. Dholpur","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","09-Jan-2026","109993"
