"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"17","Normal/Others","WS/MP225/2024-2025/142881-Purchase of non-conventional energy system and devices for community use","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","installation of high mask solar light in government boys/girls hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Apr-2025","496000"
"18","Normal/Others","WS/MP225/2024-2025/142880-Purchase of non-conventional energy system and devices for community use","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","installation of high mask solar light in government boys/girls hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Apr-2025","496000"
"19","Normal/Others","WS/MP225/2024-2025/142879-Purchase of non-conventional energy system and devices for community use","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","installation of high mask solar light in government boys/girls hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Apr-2025","496000"
"20","Normal/Others","WS/MP225/2024-2025/142878-Purchase of non-conventional energy system and devices for community use","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","installation of high mask solar light in government boys/girls hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Apr-2025","496000"
"21","Normal/Others","WS/MP225/2024-2025/142877-Purchase of non-conventional energy system and devices for community use","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","installation of high mask solar light in government boys/girls hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Apr-2025","496000"
"22","Normal/Others","WS/MP225/2024-2025/142883-Purchase of non-conventional energy system and devices for community use","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","installation of high mask solar light in government boys/girls hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Apr-2025","496000"
"23","Normal/Others","WS/MP225/2024-2025/142882-Purchase of non-conventional energy system and devices for community use","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","installation of high mask solar light in government boys/girls hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Apr-2025","496000"
"24","Normal/Others","WS/MP225/2024-2025/142885-Purchase of non-conventional energy system and devices for community use","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","installation of high mask solar light for the government girls hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Apr-2025","496000"
"25","Normal/Others","WS/MP225/2024-2025/142884-Purchase of non-conventional energy system and devices for community use","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","installation of high mask solar light for the government girls hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Apr-2025","496000"
"26","Normal/Others","WS/MP225/2024-2025/159428-Construction of culverts and bridges","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","Construction of a Public Platform and Shed near the Campus of Mangrailgarh Temple, Village Khadadorna, Development Block Sitapur, District Surguja, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","06-May-2025","999783"
"27","Normal/Others","WS/MP225/2024-2025/159429-Construction of culverts and bridges","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","Construction of an Embankment on the Approach Road to Uraw Para in Village Kunmera, Development Block Sitapur, District Surguja, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Jul-2025","999838"
"28","Normal/Others","WS/MP225/2024-2025/159546-Construction of culverts and bridges","Chhattisgarh","Sarangarh-Bilaigarh(Collector SB_IDA)","Construction of a small bridge on the Nadri Canal for the welfare and benefit of the local community.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","21-Jan-2026","999972"
"29","Normal/Others","WS/MP225/2024-2025/159544-Installation of multi-gym equipment","Chhattisgarh","Sarangarh-Bilaigarh(Collector SB_IDA)","Construction of an open gym for the welfare and benefit of the local community","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","05-Aug-2025","1000000"
"30","Normal/Others","WS/MP225/2024-2025/159542-Installation of multi-gym equipment","Chhattisgarh","Sarangarh-Bilaigarh(Collector SB_IDA)","Construction of an open gym for the welfare and benefit of the local community.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","14-Jul-2025","999424"
"31","Normal/Others","WS/MP225/2024-2025/159387-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Construction of a CC Road from the School to Firatram Sahu's Residence in Village Deradih, Development Block-Kasdol, Tehsil-Tundra, District-Baloda Bazar, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","05-Mar-2025","999937"
"32","Normal/Others","WS/MP225/2024-2025/159389-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Construction of a CC Road from Guri Chowk to Transformer in Village Turkindih/Deradih, Development Block-Kasdol, Tehsil-Tundra, District-Baloda Bazar, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","05-Mar-2025","1499863"
"33","Normal/Others","WS/MP225/2024-2025/159545-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Sarangarh-Bilaigarh(Collector SB_IDA)","Construction of CC Road from Deogaon Pulia to Main Road for the welfare and benefit of the local community.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","26-Apr-2025","999522"
"34","Normal/Others","WS/MP225/2024-2025/160361-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Construction of a C.C. Road from the house of Pramod Devangan to Ramkhilawan Kewat's home in the village Rampur, Village Panchayat Deradih, Development Block Kasdol, in Tundra Tehsil of Baloda Bazar District, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","05-Mar-2025","999815"
"35","Normal/Others","WS/MP225/2024-2025/159409-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Strengthening of the Road from the Main Road to Satitikara Approach Road in Village Maini, Village Panchayat Bagicha, District Jaspur, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","16-Jan-2026","999778"
"36","Normal/Others","WS/MP225/2024-2025/142886-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","installation of high mask light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Mar-2025","496458"
"37","Normal/Others","WS/MP225/2024-2025/143854-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Construction of C.C.Road from Ramesh Ghat to Ganesh Ghat Village Alor Tehsil Pharasgaon in Kondagaon District","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Sep-2025","985000"
"38","Normal/Others","WS/MP225/2024-2025/142889-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","installation of high mask light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"39","Normal/Others","WS/MP225/2024-2025/142887-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","installation of high mask light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"40","Normal/Others","WS/MP225/2024-2025/142888-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","installation of high mask light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"41","Normal/Others","WS/MP225/2024-2025/142891-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","installation of high mask light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"42","Normal/Others","WS/MP225/2024-2025/142890-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of High Mask Solar Light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"43","Normal/Others","WS/MP225/2024-2025/142892-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","installation of high mask light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"44","Normal/Others","WS/MP225/2024-2025/142894-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","installation of high mask solar light in the public place","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"45","Normal/Others","WS/MP225/2024-2025/142893-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","installation of high mask solar light in the public place","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"46","Normal/Others","WS/MP225/2024-2025/142896-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of high mask solar light in the Government boys Hostel, Balajhar","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"47","Normal/Others","WS/MP225/2024-2025/142897-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of high mask solar light in the Government Pre-Matric SC/ST Boys Hostel ,Tamta","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"48","Normal/Others","WS/MP225/2024-2025/142898-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of high mask solar light in the Government Pre-Matric SC/ST Boys Hostel, Shekharpur","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"49","Normal/Others","WS/MP225/2024-2025/142895-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of high mask solar light in the government boys/girls hostel, Gala","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"50","Normal/Others","WS/MP225/2024-2025/142899-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of high mask solar light in the Government Girls Hostel,Tamta","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"51","Normal/Others","WS/MP225/2024-2025/143842-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of high mask solar lights in Govt Pre Matric SC/ST Boys/Girls Hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"52","Normal/Others","WS/MP225/2024-2025/143843-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of high mask solar lights in Govt Pre Matric SC/ST Boys/Girls Hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"53","Normal/Others","WS/MP225/2024-2025/143844-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of high mask solar lights in Govt Pre Matric SC/ST Boys/Girls Hostel","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"54","Normal/Others","WS/MP225/2024-2025/143845-Street lights","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of High Mask Solar Lights in the various public places","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"55","Normal/Others","WS/MP225/2024-2025/143846-Street lights","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of High Mask Solar Lights in the various public places","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"56","Normal/Others","WS/MP225/2024-2025/143847-Street lights","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of High Mask Solar Light near to Rameshwar house","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"57","Normal/Others","WS/MP225/2024-2025/143848-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Installation of High Mask Solar Light in Mast. Yadav Bhawan Near Ward No 08.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2025","496458"
"58","Normal/Others","WS/MP225/2024-2025/152088-Purchase of hospital equipment","Chhattisgarh","BALOD(Collector Balod_IDA)","Supply of lead barrier,mortuary freezer box, floor clean machine,ECG machine,BP or sale counter machine and other necessary medical equipment in community health center Arjunda  in Gunderdehi block","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","28-Mar-2025","2481993"
"59","Normal/Others","WS/MP225/2024-2025/157015-Lighting of public spaces","Chhattisgarh","BALOD(Collector Balod_IDA)","Supply and Installation of High-mast Light at the Government Community Hospital, Deori, in Balod District, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","28-Mar-2025","999993"
"60","Normal/Others","WS/MP225/2024-2025/152087-Purchase of hospital equipment","Chhattisgarh","BALOD(Collector Balod_IDA)","Supply of mortuary freezer box, Operation Theatre(OT) equipments,R.O.,OT Table,High tech bed,vital monitor etc. in community health center Deori Bengala","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","03-Apr-2025","2481993"
"61","Normal/Others","WS/MP225/2024-2025/157014-Lighting of public spaces","Chhattisgarh","BALOD(Collector Balod_IDA)","Supply and Installation of High-mast Light at the Government Community Hospital, Arjunda, in Balod District, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","28-Mar-2025","1000000"
"62","Normal/Others","WS/MP225/2024-2025/157012-Purchase of hospital equipment","Chhattisgarh","BALOD(Collector Balod_IDA)","Supply of LED Barrier, Mortuary Freezer, Floor Cleaning Machine, ECG Machine, BP Machine, Sell Counter, High-mast Light, and Other Necessary Medical Equipment for the Government Community Health Centre, Dondi, in Balod District, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","03-Apr-2025","3481986"
"63","Normal/Others","WS/MP225/2024-2025/157011-Purchase of hospital equipment","Chhattisgarh","BALOD(Collector Balod_IDA)","Supply of Mortuary Freezer, O.T. Equipment, O.T. Table, R.O. System, High-tech Beds, Vital Monitors, High-mast Lights, and Other Medical Equipment for the Government Civil Hospital (100 Bed), Dalli Rajhara, in Balod District, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","03-Apr-2025","3481986"
"64","Normal/Others","WS/MP225/2024-2025/157013-Purchase of hospital equipment","Chhattisgarh","BALOD(Collector Balod_IDA)","Supply of LED Barrier, Mortuary Freezer, Floor Cleaning Machine, ECG Machine, BP Machine, Sell Counter, High-mast Light, and Other Necessary Medical Equipment for the Government Community Health Centre, Dondilohara, in Balod District, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","03-Apr-2025","3481986"
"65","Normal/Others","WS/MP225/2024-2025/152090-Installation of multi-gym equipment","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Installation of Opem  GYM at Government  Higher Secondary School  Karmada (Baloda bazar)","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","08-Apr-2025","759155"
"66","Normal/Others","WS/MP225/2024-2025/152091-Installation of multi-gym equipment","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Installation of Opem  GYM at IR Yadav  Government Higher  Secondary School  Bhatapara (Bhatapara)","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","08-Apr-2025","759155"
"67","Normal/Others","WS/MP225/2024-2025/152092-Installation of multi-gym equipment","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Installation of Opem  GYM at Government  Higher Secondary School  Kasdol (Pisid)","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","08-Apr-2025","759155"
"68","Normal/Others","WS/MP225/2024-2025/152093-Installation of multi-gym equipment","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Installation of Opem  GYM at Government  Higher Secondary School  Kosmandi (Pallari).","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","08-Apr-2025","759155"
"69","Normal/Others","WS/MP225/2024-2025/152094-Installation of multi-gym equipment","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Installation of Opem  GYM at Government  Higher Secondary School  Rohara (Simga).","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","08-Apr-2025","759155"
"70","Normal/Others","WS/MP225/2024-2025/159397-Construction of culverts and bridges","Chhattisgarh","Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA)","Construction of a Culvert on the Approach Road of Khairwahi Para Village Karamdiha, Development Block-Rajpur, Tehsil-Rajpur, District-Balrampur, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","25-Mar-2026","969650"
"71","Normal/Others","WS/MP225/2024-2025/159398-Construction of culverts and bridges","Chhattisgarh","Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA)","Construction of a Culvert near the Gauthan at Village Semrakathra, Development Block-Rajpur, Tehsil-Rajpur, District-Balrampur, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","04-Nov-2025","969922"
"72","Normal/Others","WS/MP225/2024-2025/159401-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA)","Construction of CC Road from the residence of Bhadwa Korwa to Sarpanch Para at Village Kotaghnaa, Development Block-Rajpur, Tehsil-Rajpur, District-Balrampur, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","02-Sep-2025","999762"
"73","Normal/Others","WS/MP225/2024-2025/158944-Lighting of public spaces","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Installation of a Hybrid Solar High-Mast Light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","496500"
"74","Normal/Others","WS/MP225/2024-2025/158945-Lighting of public spaces","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Installation of a Hybrid Solar High-Mast Light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","496500"
"75","Normal/Others","WS/MP225/2024-2025/158961-Lighting of public spaces","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Installation of a Hybrid Solar High-Mast Light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","496500"
"76","Normal/Others","WS/MP225/2024-2025/158949-Lighting of public spaces","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Installation of a Hybrid Solar High-Mast Light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","496500"
"77","Normal/Others","WS/MP225/2024-2025/158964-Lighting of public spaces","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Installation of a Hybrid Solar High-Mast Light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","496500"
"78","Normal/Others","WS/MP225/2024-2025/158963-Lighting of public spaces","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Installation of a Hybrid Solar High-Mast Light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","496500"
"79","Normal/Others","WS/MP225/2024-2025/158962-Lighting of public spaces","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Installation of a Hybrid Solar High-Mast Light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","496500"
"80","Normal/Others","WS/MP225/2024-2025/158947-Lighting of public spaces","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Installation of a Hybrid Solar High-Mast Light","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","496500"
